date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:24	47/47	---M--	200	added ('OK')	text/plain	date:Tue,%2018%20Jul%202023%2018:53:11%20GMT	https://www. .com/robots.txt		(from )
18:16:24	15053/15053	---MC-	200	added ('OK')	text/html	etag:W/%22efbef00e18fa517ca2fb8b85cebff5be%22	https://www. .com/	C:/My%20Web%20Sites/hackshplain/www. .com/index.html	(from )
18:16:24	20398/20398	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Jul%202023%2018:53:11%20GMT	https://www. .com/touch-icon-iphone.png	C:/My%20Web%20Sites/hackshplain/www. .com/touch-icon-iphone.png	(from https://www. .com/)
18:16:25	20952/20952	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Jul%202023%2018:53:11%20GMT	https://www. .com/touch-icon-ipad.png	C:/My%20Web%20Sites/hackshplain/www. .com/touch-icon-ipad.png	(from https://www. .com/)
18:16:25	22861/22861	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Jul%202023%2018:53:11%20GMT	https://www. .com/touch-icon-iphone-retina.png	C:/My%20Web%20Sites/hackshplain/www. .com/touch-icon-iphone-retina.png	(from https://www. .com/)
18:16:25	22704/22704	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Jul%202023%2018:53:11%20GMT	https://www. .com/touch-icon-ipad-retina.png	C:/My%20Web%20Sites/hackshplain/www. .com/touch-icon-ipad-retina.png	(from https://www. .com/)
18:16:26	2984939/2984939	---M-Z	200	added ('OK')	text/css	date:Tue,%2018%20Jul%202023%2018:53:10%20GMT	https://d1o5lmfp4gliop.cloudfront.net/assets/application-1f27c21e9caba5e224e9039708363bb3d6393bcd0cec34182ef97d314c3d7fe1.css	C:/My%20Web%20Sites/hackshplain/d1o5lmfp4gliop.cloudfront.net/assets/application-1f27c21e9caba5e224e9039708363bb3d6393bcd0cec34182ef97d314c3d7fe1.css	(from https://www. .com/)
18:16:27	1548549/1548549	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20Jul%202023%2018:53:10%20GMT	https://d1o5lmfp4gliop.cloudfront.net/assets/application-9865c3a61c1ffdfed4986c79c8214c39119b9dd0fa2157ea9bdc023c8edbd459.js	C:/My%20Web%20Sites/hackshplain/d1o5lmfp4gliop.cloudfront.net/assets/application-9865c3a61c1ffdfed4986c79c8214c39119b9dd0fa2157ea9bdc023c8edbd459.js	(from https://www. .com/)
18:16:27	43370/43370	---MC-	200	added ('OK')	text/html	etag:W/%227767b7ba74e7a4b1c1eba3d91d6e776e%22	https://www. .com/features	C:/My%20Web%20Sites/hackshplain/www. .com/features.html	(from https://www. .com/)
18:16:27	37492/37492	---MC-	200	added ('OK')	text/html	etag:W/%221219bd69040f230d01421955e15132bf%22	https://www. .com/lessons	C:/My%20Web%20Sites/hackshplain/www. .com/lessons.html	(from https://www. .com/)
